time,open,high,low,close,Up Trend,Down Trend,EMA,EMA,Daily Pivot,Daily BC,Daily TC,Daily R1,Daily R2,Daily S1,Daily S2,Daily S3,Volume
2026-02-16T13:45:00+05:30,25590.7,25594.15,25580.45,25582.4,25538.392128877775,,25569.153435599514,25579.516969481043,25515.25,25493.175000000003,25537.324999999997,25586.2,25701.3,25400.15,25329.2,25214.100000000002,2902205
2026-02-16T13:50:00+05:30,25580.85,25589.9,25567.3,25567.3,25538.392128877775,,25568.97691792337,25577.073575584833,25515.25,25493.175000000003,25537.324999999997,25586.2,25701.3,25400.15,25329.2,25214.100000000002,3113115
2026-02-16T13:55:00+05:30,25567.4,25569.55,25544.85,25566,25538.392128877775,,25568.69340193067,25574.858860467866,25515.25,25493.175000000003,25537.324999999997,25586.2,25701.3,25400.15,25329.2,25214.100000000002,3677152
2026-02-16T14:00:00+05:30,25565,25585.4,25564.25,25576.35,25538.392128877775,,25569.422601746795,25575.157088374293,25515.25,25493.175000000003,25537.324999999997,25586.2,25701.3,25400.15,25329.2,25214.100000000002,3304562
2026-02-16T14:05:00+05:30,25577.15,25580.2,25560.85,25562,25538.392128877775,,25568.71568729472,25572.525670699433,25515.25,25493.175000000003,25537.324999999997,25586.2,25701.3,25400.15,25329.2,25214.100000000002,2380630
2026-02-16T14:10:00+05:30,25563.45,25582.5,25560.5,25580.35,25538.392128877775,,25569.823717076175,25574.090536559546,25515.25,25493.175000000003,25537.324999999997,25586.2,25701.3,25400.15,25329.2,25214.100000000002,2813611
2026-02-16T14:15:00+05:30,25581.1,25587.5,25574,25575.25,25538.392128877775,,25570.340505926062,25574.322429247637,25515.25,25493.175000000003,25537.324999999997,25586.2,25701.3,25400.15,25329.2,25214.100000000002,2230328
2026-02-16T14:20:00+05:30,25575.5,25584.9,25575.15,25583.95,25538.392128877775,,25571.636648218817,25576.24794339811,25515.25,25493.175000000003,25537.324999999997,25586.2,25701.3,25400.15,25329.2,25214.100000000002,1971049
2026-02-16T14:25:00+05:30,25583.8,25624.9,25582.85,25620.4,25544.617413491975,,25576.28077695988,25585.078354718487,25515.25,25493.175000000003,25537.324999999997,25586.2,25701.3,25400.15,25329.2,25214.100000000002,3174928
2026-02-16T14:30:00+05:30,25620.75,25649.05,25620.35,25648.9,25572.758172142774,,25583.19689343989,25597.84268377479,25515.25,25493.175000000003,25537.324999999997,25586.2,25701.3,25400.15,25329.2,25214.100000000002,4507549
2026-02-16T14:35:00+05:30,25650.15,25654.95,25634.35,25636.35,25582.7223549285,,25588.259094064662,25605.54414701983,25515.25,25493.175000000003,25537.324999999997,25586.2,25701.3,25400.15,25329.2,25214.100000000002,4939946
2026-02-16T14:40:00+05:30,25636,25648.7,25631.55,25646.25,25582.7223549285,,25593.782037487075,25613.685317615866,25515.25,25493.175000000003,25537.324999999997,25586.2,25701.3,25400.15,25329.2,25214.100000000002,2793540
2026-02-16T14:45:00+05:30,25645.75,25669.85,25639.8,25665,25591.01810749208,,25600.564700583545,25623.94825409269,25515.25,25493.175000000003,25537.324999999997,25586.2,25701.3,25400.15,25329.2,25214.100000000002,3202521
2026-02-16T14:50:00+05:30,25665.3,25665.9,25643.9,25651.35,25591.01810749208,,25605.401395766065,25629.42860327415,25515.25,25493.175000000003,25537.324999999997,25586.2,25701.3,25400.15,25329.2,25214.100000000002,3033938
2026-02-16T14:55:00+05:30,25651.6,25666.2,25647.9,25663.45,25593.93641706859,,25610.929834264534,25636.232882619322,25515.25,25493.175000000003,25537.324999999997,25586.2,25701.3,25400.15,25329.2,25214.100000000002,3755508
2026-02-16T15:00:00+05:30,25661.55,25688.4,25661.55,25686.65,25610.117775361727,,25618.141278620293,25646.316306095458,25515.25,25493.175000000003,25537.324999999997,25586.2,25701.3,25400.15,25329.2,25214.100000000002,6078270
2026-02-16T15:05:00+05:30,25684.75,25694,25678.5,25688.65,25623.228497825556,,25624.85639494217,25654.783044876367,25515.25,25493.175000000003,25537.324999999997,25586.2,25701.3,25400.15,25329.2,25214.100000000002,6181337
2026-02-16T15:10:00+05:30,25687.1,25697,25682.35,25686.75,25628.560648043,,25630.751023995297,25661.176435901092,25515.25,25493.175000000003,25537.324999999997,25586.2,25701.3,25400.15,25329.2,25214.100000000002,6280796
2026-02-16T15:15:00+05:30,25687.05,25689,25676.8,25680.95,25628.560648043,,25635.53187885289,25665.131148720873,25515.25,25493.175000000003,25537.324999999997,25586.2,25701.3,25400.15,25329.2,25214.100000000002,6897131
